Date : 2022-02-02 15:33:23
Directory : c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend
Total : 119 files,  7552 codes, 1049 comments, 909 blanks, all 9510 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         70 |      4,167 |      1,038 |        710 |      5,915 |
| Markdown         |         21 |      1,235 |         11 |        139 |      1,385 |
| Django txt       |         11 |      1,197 |          0 |         36 |      1,233 |
| CSV              |         10 |        783 |          0 |          0 |        783 |
| pip requirements |          1 |         85 |          0 |          1 |         86 |
| Ini              |          1 |         80 |          0 |         23 |        103 |
| JSON             |          5 |          5 |          0 |          0 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        119 |      7,552 |      1,049 |        909 |      9,510 |
| .VSCodeCounter                                                                                                                |         45 |      3,110 |          0 |        160 |      3,270 |
| .VSCodeCounter\2022-01-23_21-00-41                                                                                            |          9 |      1,082 |          0 |         32 |      1,114 |
| .VSCodeCounter\2022-01-25_18-35-42                                                                                            |          9 |        522 |          0 |         32 |        554 |
| .VSCodeCounter\2022-01-26_20-02-26                                                                                            |          9 |        471 |          0 |         32 |        503 |
| .VSCodeCounter\2022-01-27_00-12-17                                                                                            |          9 |        475 |          0 |         32 |        507 |
| .VSCodeCounter\2022-01-27_17-18-34                                                                                            |          9 |        560 |          0 |         32 |        592 |
| Test                                                                                                                          |          2 |         10 |         22 |          3 |         35 |
| alembic                                                                                                                       |          4 |      1,369 |         77 |         36 |      1,482 |
| alembic\versions                                                                                                              |          3 |      1,331 |         36 |         21 |      1,388 |
| alembic\versions\BackUp                                                                                                       |          1 |        661 |         12 |          7 |        680 |
| alembic\versions\BackUp\Mysql                                                                                                 |          1 |        661 |         12 |          7 |        680 |
| src                                                                                                                           |         62 |      2,723 |        909 |        667 |      4,299 |
| src\Api                                                                                                                       |         20 |        179 |        201 |         71 |        451 |
| src\Core                                                                                                                      |          2 |         16 |         25 |         11 |         52 |
| src\Models                                                                                                                    |         21 |      2,386 |        422 |        550 |      3,358 |
| src\Services                                                                                                                  |         17 |        142 |        239 |         33 |        414 |
| src\Tasks                                                                                                                     |          1 |          0 |         11 |          1 |         12 |
| src\Tests                                                                                                                     |          1 |          0 |         11 |          1 |         12 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\details.md      | Markdown         |         61 |          0 |          6 |         67 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff-details.md | Markdown         |        258 |          0 |          6 |        264 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.csv        | CSV              |        251 |          0 |          0 |        251 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.md         | Markdown         |         39 |          0 |          7 |         46 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.txt        | Django txt       |        295 |          0 |          3 |        298 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.csv     | CSV              |         54 |          0 |          0 |         54 |
| c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.json    | JSON             |          1 |          0 |          0 |          1 |
