"filename", "language", "Python", "Django txt", "pip requirements", "Ini", "JSON", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\diff.txt", "Django txt", 0, 99, 0, 0, 0, 0, 0, 0, 3, 102
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 266, 0, 0, 266
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-22_13-03-52\results.txt", "Django txt", 0, 310, 0, 0, 0, 0, 0, 0, 3, 313
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\details.md", "Markdown", 0, 0, 0, 0, 0, 61, 0, 0, 6, 67
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 258, 0, 0, 6, 264
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 251, 0, 0, 251
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\diff.txt", "Django txt", 0, 295, 0, 0, 0, 0, 0, 0, 3, 298
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 54, 0, 0, 54
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.md", "Markdown", 0, 0, 0, 0, 0, 32, 0, 0, 7, 39
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-23_21-00-41\results.txt", "Django txt", 0, 91, 0, 0, 0, 0, 0, 0, 3, 94
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\details.md", "Markdown", 0, 0, 0, 0, 0, 77, 0, 0, 6, 83
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 53, 0, 0, 53
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.md", "Markdown", 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\diff.txt", "Django txt", 0, 86, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 70, 0, 0, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.md", "Markdown", 0, 0, 0, 0, 0, 36, 0, 0, 7, 43
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-25_18-35-42\results.txt", "Django txt", 0, 111, 0, 0, 0, 0, 0, 0, 3, 114
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\details.md", "Markdown", 0, 0, 0, 0, 0, 87, 0, 0, 6, 93
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 35, 0, 0, 6, 41
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.md", "Markdown", 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\diff.txt", "Django txt", 0, 57, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 80, 0, 0, 80
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\.VSCodeCounter\2022-01-26_20-02-26\results.txt", "Django txt", 0, 122, 0, 0, 0, 0, 0, 0, 3, 125
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test.txt", "Django txt", 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test\Public.py", "Python", 10, 0, 0, 0, 0, 0, 0, 11, 2, 23
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test\Test.py", "Python", 3, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\Test_pydantic_to_sqlalchemy.py", "Python", 68, 0, 0, 0, 0, 0, 0, 11, 2, 81
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic.ini", "Ini", 0, 0, 0, 80, 0, 0, 0, 0, 23, 103
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\env.py", "Python", 38, 0, 0, 0, 0, 0, 0, 41, 15, 94
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\90c8fcbf3638_init.py", "Python", 658, 0, 0, 0, 0, 0, 0, 12, 7, 677
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\9e02df0b02ea_update.py", "Python", 12, 0, 0, 0, 0, 0, 0, 12, 7, 31
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\alembic\versions\BackUp\Mysql\dc50e1f2513e_init.py", "Python", 661, 0, 0, 0, 0, 0, 0, 12, 7, 680
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\main.py", "Python", 6, 0, 0, 0, 0, 0, 0, 12, 2, 20
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\requirements.txt", "pip requirements", 0, 0, 85, 0, 0, 0, 0, 0, 1, 86
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 12, 2, 17
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\crud.py", "Python", 62, 0, 0, 0, 0, 0, 0, 2, 10, 74
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\database.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\models.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\run.py", "Python", 58, 0, 0, 0, 0, 0, 0, 12, 15, 85
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\schema.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 7, 21
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Api\test.py", "Python", 13, 0, 0, 0, 0, 0, 0, 12, 7, 32
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\Settings.py", "Python", 16, 0, 0, 0, 0, 0, 0, 13, 10, 39
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCoursePlan.py", "Python", 177, 0, 0, 0, 0, 0, 0, 13, 35, 225
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelCurricula.py", "Python", 163, 0, 0, 0, 0, 0, 0, 12, 35, 210
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelDepartment.py", "Python", 77, 0, 0, 0, 0, 0, 0, 12, 30, 119
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelEquipment.py", "Python", 129, 0, 0, 0, 0, 0, 0, 12, 30, 171
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelLocation.py", "Python", 193, 0, 0, 0, 0, 0, 0, 12, 57, 262
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelMmx.py", "Python", 132, 0, 0, 0, 0, 0, 0, 13, 55, 200
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelPublic.py", "Python", 129, 0, 0, 0, 0, 0, 0, 27, 15, 171
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelRunningAccount.py", "Python", 96, 0, 0, 0, 0, 0, 0, 12, 25, 133
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTableInformation.py", "Python", 91, 0, 0, 0, 0, 0, 0, 12, 30, 133
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelTypera.py", "Python", 75, 0, 0, 0, 0, 0, 0, 12, 30, 117
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUser.py", "Python", 174, 0, 0, 0, 0, 0, 0, 13, 51, 238
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ModelUserGroup.py", "Python", 42, 0, 0, 0, 0, 0, 0, 11, 17, 70
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\ORM.py", "Python", 459, 0, 0, 0, 0, 0, 0, 167, 49, 675
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\PublicValues.py", "Python", 3, 0, 0, 0, 0, 0, 0, 11, 1, 15
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Session.py", "Python", 76, 0, 0, 0, 0, 0, 0, 12, 24, 112
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\Test.py", "Python", 25, 0, 0, 0, 0, 0, 0, 12, 9, 46
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Models\__init__.py", "Python", 13, 0, 0, 0, 0, 0, 0, 12, 1, 26
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\Test.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 1, 13
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tasks\__init_.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\Tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\shado\Desktop\Desktop\Documents\ComputerProgramme\Code\WebBackend\src\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 12, 1, 16
"Total", "-", 3692, 1496, 85, 80, 5, 1470, 1091, 617, 790, 9326
